accident_number,date,time,year,street1,street2,road_class,district,latitude,longitude,x,y,accident_location,traffctl,visibility,light,road_surface_condition,hood_158,neighbourhood_new,hood_140,neighbourhood_old,accident_class,pedestrian,cyclist,automobile,motorcycle,truck,trsn_city_veh,emerg_veh,passenger,speeding,aggressive_driving,redlight,alcohol,disability,impact_type,involvement_type,initial_direction,vehicle_type,manoeuver,driver_action,driver_condition,pedestrian_action,pedestrian_condition,cyclist_type,cyclist_action,cyclist_condition,injury,involvement_age,injury_severity_score
11,2015-01-18 10:00:00,1130,2015,ALBERTUS AVE,YONGE ST,Major Arterial,North York,43.714556,-79.400028,628890.7808,4841412.8723,Non Intersection,No Control,Clear,Daylight,Wet,99,Mount Pleasant East,99,Mount Pleasant East (99),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Pulling Away from Shoulder or Curb'],['Driving Properly'],['Normal'],['Other'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['30 to 34'],3.0
12,2015-01-23 10:00:00,352,2015,KEELE ST,LAWRENCE AVE W,Major Arterial,Etobicoke York,43.708651,-79.478046,622617.7807,4840638.6794,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,30,Brookhaven-Amesbury,30,Brookhaven-Amesbury (30),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,1,1,0,0,Turning Movement,"['Driver', 'Passenger']",North,"['Automobile, Station Wagon']","['Turning Left', 'Going Ahead']","['Disobeyed Traffic Control', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '35 to 39', '55 to 59', '65 to 69']",3.0
13,2015-01-23 10:00:00,1415,2015,GLEBEMOUNT AVE,MORTIMER AVE,Minor Arterial,Toronto and East York,43.691374,-79.320621,635339.8856,4838964.727,At Intersection,Traffic Signal,Clear,Daylight,Dry,59,Danforth East York,59,Danforth East York (59),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,1,0,0,0,Angle,"['Driver', 'Passenger']",North,"['Automobile, Station Wagon']",['Going Ahead'],"['Failed to Yield Right of Way', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['55 to 59', '35 to 39', '85 to 89', '25 to 29']",3.0
14,2015-01-25 10:00:00,756,2015,COLLEGE ST,BROCK AVE,Minor Arterial,Toronto and East York,43.651801,-79.436343,626096.691,4834387.2489,At Intersection,Traffic Signal,Clear,Daylight,Dry,84,Little Portugal,84,Little Portugal (84),Fatal,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,['Pick Up Truck'],['Turning Left'],['Failed to Yield Right of Way'],['Inattentive'],['Crossing with right of way'],['Medical or Physical Disability'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['40 to 44', '55 to 59']",4.0
15,2015-01-26 10:00:00,400,2015,SOUTH STATION ST,LAWRENCE AVE W,Local,Etobicoke York,43.700907,-79.515689,619600.4078,4839723.6112,Non Intersection,No Control,Clear,Dark,Dry,113,Weston,113,Weston (113),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",South,"['Automobile, Station Wagon']",['Going Ahead'],['Other'],['Unknown'],['On Sidewalk or Shoulder'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '50 to 54']",3.0
16,2015-01-28 10:00:00,617,2015,1792 BIRCHMOUNT RD,Not Applicable,Major Arterial,Scarborough,43.765433,-79.291316,637531.9709,4847238.3199,Unknown,No Control,Clear,Dark,Dry,126,Dorset Park,126,Dorset Park (126),Fatal,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Pedestrian', 'Driver']",North,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,['55 to 59'],4.0
17,2015-01-28 10:00:00,1450,2015,MIDLAND AVE,SILVER STAR BLVD,Major Arterial,Scarborough,43.80704,-79.288791,637639.6796,4851863.6308,At Intersection,Traffic Signal,Clear,Daylight,Dry,129,Agincourt North,129,Agincourt North (129),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Turning Left'],['Failed to Yield Right of Way'],['Unknown'],['Crossing with right of way'],['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['35 to 39', '40 to 44']",3.0
18,2015-01-30 10:00:00,1920,2015,DON VALLEY PARKWAY  S,LAWRENCE AVE E,Expressway,North York,43.740245,-79.332248,634293.6477,4844373.6445,Non Intersection,No Control,Clear,"Dark, artificial",Dry,42,Banbury-Don Mills,42,Banbury-Don Mills (42),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,1,0,0,0,Rear End,"['Driver', 'Passenger']",South,"['Automobile, Station Wagon']","['Going Ahead', 'Slowing or Stopping']","['Following too Close', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['30 to 34', 'unknown', '65 to 69', '5 to 9']",3.0
19,2015-02-04 10:00:00,1838,2015,273 MANNING AVE,Not Applicable,Local,Toronto and East York,43.652587,-79.411456,628101.9816,4834512.6626,Non Intersection,No Control,Snow,"Dark, artificial",Packed Snow,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,0,0,0,1,SMV Other,['Driver'],South,['Delivery Van'],['Other'],['Lost control'],['Medical or Physical Disability'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['30 to 34'],3.0
20,2015-02-05 10:00:00,1701,2015,750 DANFORTH RD,Not Applicable,Major Arterial,Scarborough,43.720404,-79.257442,640363.7196,4842293.9882,Unknown,No Control,Clear,"Daylight, artificial",Wet,124,Kennedy Park,124,Kennedy Park (124),Fatal,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Unknown'],"['Crossing, no Traffic Control']",['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['40 to 44', '85 to 89']",4.0
21,2015-02-06 10:00:00,2231,2015,TRANSIT RD,WILLIAM R ALLEN RD S,Major Arterial,North York,43.741828,-79.45428,624463.8023,4844358.8869,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,33,Clanton Park,33,Clanton Park (33),Non-Fatal Injury,0,0,1,0,0,1,0,0,1,1,1,0,0,Turning Movement,['Driver'],North,"['Automobile, Station Wagon', 'Municipal Transit Bus (TTC)']","['Turning Left', 'Going Ahead']","['Disobeyed Traffic Control', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '35 to 39']",3.0
22,2015-02-07 10:00:00,7,2015,TANGIERS RD,FINCH AVE W,Major Arterial,Etobicoke York,43.76266,-79.49081,621480.1704,4846618.3552,Non Intersection,No Control,Clear,"Dark, artificial",Wet,27,York University Heights,27,York University Heights (27),Non-Fatal Injury,0,0,0,0,0,1,0,1,0,0,0,0,0,Other,"['Driver', 'Passenger']",North,['Municipal Transit Bus (TTC)'],['Going Ahead'],['Driving Properly'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '60 to 64']",3.0
23,2015-02-09 10:00:00,617,2015,JONES AVE,HAZELWOOD AVE,Minor Arterial,Toronto and East York,43.679061,-79.339809,633820.8987,4837566.0585,At Intersection,Pedestrian Crossover,Clear,"Dark, artificial",Wet,69,Blake-Jones,69,Blake-Jones (69),Non-Fatal Injury,1,0,1,0,0,0,0,1,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Passenger', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Going Ahead'],['Failed to Yield Right of Way'],['Normal'],"['Crossing, Pedestrian Crossover']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['50 to 54', '55 to 59', '20 to 24']",3.0
24,2015-02-13 10:00:00,1516,2015,ROYAL YORK RD,MANITOBA ST,Minor Arterial,Etobicoke York,43.621562,-79.500606,620975.0006,4830933.185,Unknown,No Control,Other,Daylight,Other,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),Fatal,0,0,0,0,0,1,0,1,0,0,0,0,0,Other,"['Driver', 'Passenger']",North,['Municipal Transit Bus (TTC)'],['Going Ahead'],['Driving Properly'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['45 to 49', '75 to 79']",4.0
25,2015-02-14 10:00:00,903,2015,MCNICOLL AVE,BRAMBLEBROOK AVE,Minor Arterial,Scarborough,43.814021,-79.288295,637663.535,4852639.8092,Non Intersection,No Control,Snow,Daylight,Wet,130,Milliken,130,Milliken (130),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,0,0,0,0,Approaching,['Driver'],East,"['Passenger Van', 'Automobile, Station Wagon']",['Going Ahead'],"['Lost control', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['55 to 59'],3.0
26,2015-02-16 10:00:00,644,2015,KENNEDY RD,MCNICOLL AVE,Major Arterial,Scarborough,43.812129,-79.301936,636570.7617,4852407.0647,At Intersection,Traffic Signal,Clear,Dawn,Dry,130,Milliken,130,Milliken (130),Fatal,1,0,1,0,0,0,0,0,0,1,1,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Going Ahead'],['Disobeyed Traffic Control'],['Normal'],['Crossing with right of way'],['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['35 to 39', '65 to 69']",4.0
27,2015-02-16 10:00:00,1410,2015,2609 EGLINTON AVE W,Not Applicable,Major Arterial,Etobicoke York,43.69015,-79.475055,622896.5479,4838588.3172,Non Intersection,No Control,Clear,Daylight,Dry,110,Keelesdale-Eglinton West,110,Keelesdale-Eglinton West (110),Non-Fatal Injury,1,0,1,0,0,0,0,1,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Passenger', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],['Running onto Roadway'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['50 to 54', '25 to 29', '20 to 24', '40 to 44']",3.0
28,2015-02-18 10:00:00,104,2015,SHERBOURNE ST,DUNDAS ST E,Minor Arterial,Toronto and East York,43.65774,-79.370799,631369.4057,4835148.5393,Intersection Related,No Control,Clear,"Dark, artificial",Wet,73,Moss Park,73,Moss Park (73),Fatal,1,0,1,0,0,0,0,0,1,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",South,"['Automobile, Station Wagon']",['Going Ahead'],['Exceeding Speed Limit'],['Had Been Drinking'],"['Crossing, no Traffic Control']",['Other'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['30 to 34', '55 to 59']",4.0
29,2015-02-19 10:00:00,1610,2015,BATHURST ST,RICHMOND ST W,Major Arterial,Toronto and East York,43.64646,-79.403751,628736.4169,4833844.1028,At Intersection,Traffic Signal,Clear,Daylight,Dry,164,Wellington Place,77,Waterfront Communities-The Island (77),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Turning Left'],['Improper Turn'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['35 to 39', '65 to 69', '50 to 54']",3.0
30,2015-02-21 10:00:00,45,2015,MCCOWAN RD,TOWN CENTRE CRT,Major Arterial,Scarborough,43.774501,-79.2522,640659.1943,4848311.1736,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,142,Woburn North,137,Woburn (137),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],['Running onto Roadway'],['Had Been Drinking'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '20 to 24']",3.0
31,2015-02-24 10:00:00,1327,2015,BLEECKER ST,WELLESLEY ST E,Minor Arterial,Toronto and East York,43.667285,-79.373767,631109.3014,4836203.9441,Intersection Related,Stop Sign,Clear,Daylight,Wet,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Reversing'],['Other'],['Normal'],['Other'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['30 to 34', '70 to 74']",3.0
32,2015-02-24 10:00:00,1602,2015,SANDHURST CRCL,EXCHEQUER PL,Collector,Scarborough,43.807837,-79.262576,639746.4258,4851996.0918,Non Intersection,No Control,Clear,Daylight,Dry,129,Agincourt North,129,Agincourt North (129),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,0,0,0,0,Approaching,"['Driver', 'Passenger']",North,"['Automobile, Station Wagon']",['Going Ahead'],"['Other', 'Driving Properly']","['Other', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['70 to 74', '50 to 54', '5 to 9', '10 to 14']",3.0
33,2015-03-02 10:00:00,1104,2015,MARKHAM RD,PROGRESS AVE,Major Arterial,Scarborough,43.780757,-79.23347,642151.7361,4849037.993,Non Intersection,No Control,Clear,Daylight,Dry,142,Woburn North,137,Woburn (137),Non-Fatal Injury,1,0,0,0,1,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Truck Driver', 'Pedestrian']",North,"['Truck - Closed (Blazer, etc)']",['Going Ahead'],['Driving Properly'],['Normal'],['Running onto Roadway'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '15 to 19']",3.0
34,2015-03-04 10:00:00,1639,2015,FINCH AVE E,MARKHAM RD,Major Arterial,Scarborough,43.81296,-79.243068,641303.4503,4852598.2176,At Intersection,Traffic Signal,Clear,Daylight,Dry,145,Malvern West,132,Malvern (132),Fatal,1,0,0,0,1,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Pedestrian', 'Truck Driver']",Unknown,['Truck-Tractor'],['Turning Right'],['Failed to Yield Right of Way'],['Normal'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['60 to 64', '35 to 39']",4.0
35,2015-03-04 10:00:00,1855,2015,FINCH AVE E,SENECA HILL DR,Major Arterial,North York,43.793559,-79.350398,632714.1676,4850265.7181,At Intersection,Traffic Signal,Snow,"Dark, artificial",Wet,47,Don Valley Village,47,Don Valley Village (47),Non-Fatal Injury,1,0,1,0,0,0,0,1,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Passenger', 'Pedestrian']",East,"['Automobile, Station Wagon']","['Turning Left', 'Going Ahead']","['Improper Turn', 'Driving Properly']","['Unknown', 'Normal']",['On Sidewalk or Shoulder'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['35 to 39', '45 to 49', '20 to 24', '25 to 29']",3.0
36,2015-03-04 10:00:00,1935,2015,MILLWICK DR,PLUNKETT RD,Minor Arterial,Etobicoke York,43.760417,-79.570071,615104.4213,4846256.0272,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,21,Humber Summit,21,Humber Summit (21),Fatal,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",South,"['Automobile, Station Wagon']",['Turning Right'],['Failed to Yield Right of Way'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['40 to 44', '80 to 84']",4.0
37,2015-03-10 08:00:00,645,2015,452 MORTIMER AVE,Not Applicable,Minor Arterial,Toronto and East York,43.689231,-79.332736,634368.3215,4838707.0144,Unknown,No Control,Clear,"Dawn, artificial",Wet,59,Danforth East York,59,Danforth East York (59),Fatal,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Pedestrian', 'Driver']",South,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Inattentive'],"['Crossing, no Traffic Control']",['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['85 to 89', '75 to 79']",4.0
38,2015-03-10 08:00:00,820,2015,WARDEN AVE,CONTINENTAL PL,Major Arterial,Scarborough,43.763491,-79.301257,636736.2358,4847006.1683,At Intersection,No Control,Clear,Daylight,Dry,119,Wexford/Maryvale,119,Wexford/Maryvale (119),Non-Fatal Injury,1,0,1,0,0,0,0,1,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Passenger', 'Pedestrian']",North,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['30 to 34', '45 to 49']",3.0
39,2015-03-11 08:00:00,1240,2015,3157 BAYVIEW AVE,Not Applicable,Major Arterial,North York,43.782801,-79.391643,629419.1002,4849005.5664,Intersection Related,No Control,Clear,Daylight,Dry,52,Bayview Village,52,Bayview Village (52),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,1,0,0,0,Rear End,['Driver'],North,"['Automobile, Station Wagon', 'Pick Up Truck']","['Going Ahead', 'Slowing or Stopping']","['Following too Close', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['65 to 69', '75 to 79', '35 to 39', '20 to 24']",3.0
40,2015-03-11 08:00:00,1331,2015,DON VALLEY PARKWAY  S,YORK MILLS RD,Expressway,North York,43.761744,-79.336734,633884.467,4846754.1696,Non Intersection,No Control,Clear,Daylight,Dry,149,Parkwoods-O'Connor Hills,45,Parkwoods-Donalda (45),Non-Fatal Injury,0,0,1,1,0,0,0,0,0,1,0,0,0,Rear End,"['Motorcycle Driver', 'Driver']",South,"['Motorcycle', 'Automobile, Station Wagon']","['Slowing or Stopping', 'Going Ahead']","['Following too Close', 'Driving Properly']","['Other', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '60 to 64']",3.0
41,2015-03-12 08:00:00,1515,2015,1570 LAWRENCE AVE W,Not Applicable,Major Arterial,Etobicoke York,43.706294,-79.487628,621850.5662,4840362.7734,Non Intersection,No Control,Clear,Daylight,Dry,30,Brookhaven-Amesbury,30,Brookhaven-Amesbury (30),Non-Fatal Injury,0,0,0,0,0,1,0,1,0,0,0,0,0,Other,"['Driver', 'Passenger']",West,['Municipal Transit Bus (TTC)'],['Going Ahead'],['Driving Properly'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '90 to 94']",3.0
42,2015-03-12 08:00:00,1930,2015,FALMOUTH AVE,EGLINTON AVE E,Major Arterial,Scarborough,43.735575,-79.253146,640674.2472,4843986.2381,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,124,Kennedy Park,124,Kennedy Park (124),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,"['Automobile, Station Wagon']",['Turning Left'],['Failed to Yield Right of Way'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '60 to 64']",3.0
43,2015-03-15 08:00:00,1445,2015,BLOOR ST W,PARKSIDE DR,Major Arterial,Toronto and East York,43.654696,-79.460033,624180.2932,4834673.0509,At Intersection,Traffic Signal,Clear,Daylight,Dry,87,High Park-Swansea,87,High Park-Swansea (87),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,1,0,0,0,Turning Movement,['Driver'],North,"['Automobile, Station Wagon']","['Turning Left', 'Going Ahead', 'Turning Right']","['Failed to Yield Right of Way', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['50 to 54', '45 to 49']",3.0
